Vector(Upload: 13.52 Mbit/s, Download: 33.62 Mbit/s, Sun Mar  8 01:33:41 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Vodafone Hutchison Australia (NN) (Sydney) [7372.57 km]: 196.008 ms)
Vector(Upload: 9.15 Mbit/s, Download: 26.32 Mbit/s, Sun Mar  8 01:35:41 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by STC (Hong Kong) [1.06 km]: 13.83 ms)
Vector(Upload: 4.05 Mbit/s, Download: 3.40 Mbit/s, Sun Mar  8 01:36:42 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by TreudlerGroup UK (London) [9625.15 km]: 436.942 ms)
Vector(Upload: 4.09 Mbit/s, Download: 8.42 Mbit/s, Sun Mar  8 01:38:33 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Towerstream (New York City, NY) [12959.46 km]: 250.888 ms)
Vector(Upload: 0.82 Mbit/s, Download: 1.56 Mbit/s, Sun Mar  8 02:09:53 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by CMCC-SZ (Shenzhen) [27.85 km]: 3407.643 ms)
Vector(Upload: 8.19 Mbit/s, Download: 35.77 Mbit/s, Sun Mar  8 02:11:37 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Taiwan Fixed Network (New Taipei) [802.48 km]: 41.192 ms)
Vector(Upload: 3.30 Mbit/s, Download: 6.42 Mbit/s, Sun Mar  8 02:12:44 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Northwestel Inc. (Whitehorse, YT) [8919.13 km]: 283.234 ms)
Vector(Upload: 12.06 Mbit/s, Download: 50.48 Mbit/s, Sun Mar  8 02:43:56 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Internode (Sydney) [7372.57 km]: 170.886 ms)
Vector(Upload: 17.21 Mbit/s, Download: 71.55 Mbit/s, Sun Mar  8 02:45:17 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by FPT Telecom (Hong Kong) [1.06 km]: 10.079 ms)
Vector(Upload: 4.42 Mbit/s, Download: 6.75 Mbit/s, Sun Mar  8 02:46:01 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by TreudlerGroup UK (London) [9625.15 km]: 326.283 ms)
Vector(Upload: 6.40 Mbit/s, Download: 21.27 Mbit/s, Sun Mar  8 02:47:17 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Inerail (New York City, NY) [12959.46 km]: 238.818 ms)
Vector(Upload: 0.65 Mbit/s, Download: 4.29 Mbit/s, Sun Mar  8 03:18:35 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by CMCC-SZ (Shenzhen) [27.85 km]: 3358.909 ms)
Vector(Upload: 28.16 Mbit/s, Download: 78.66 Mbit/s, Sun Mar  8 03:20:20 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Taiwan Star Telecom Co., Ltd. (New Taipei) [802.48 km]: 35.902 ms)
Vector(Upload: 4.37 Mbit/s, Download: 13.38 Mbit/s, Sun Mar  8 03:21:23 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Northwestel Inc. (Whitehorse, YT) [8919.13 km]: 272.502 ms)
Vector(Upload: 12.12 Mbit/s, Download: 53.02 Mbit/s, Sun Mar  8 03:52:47 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Internode (Sydney) [7372.57 km]: 150.277 ms)
Vector(Upload: 63.34 Mbit/s, Download: 93.70 Mbit/s, Sun Mar  8 03:54:25 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by STC (Hong Kong) [1.06 km]: 9.373 ms)
Vector(Upload: 1.63 Mbit/s, Download: 1.52 Mbit/s, Sun Mar  8 03:55:15 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by TreudlerGroup UK (London) [9625.15 km]: 365.472 ms)
Vector(Upload: 6.61 Mbit/s, Download: 14.48 Mbit/s, Sun Mar  8 03:57:28 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Towerstream (New York City, NY) [12959.46 km]: 239.99 ms)
Vector(Upload: 0.76 Mbit/s, Download: 1.19 Mbit/s, Sun Mar  8 04:28:44 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by CMCC-SZ (Shenzhen) [27.85 km]: 3358.45 ms)
Vector(Upload: 22.40 Mbit/s, Download: 80.25 Mbit/s, Sun Mar  8 04:30:10 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Chief Telecom (New Taipei) [802.48 km]: 41.227 ms)
Vector(Upload: 2.80 Mbit/s, Download: 20.99 Mbit/s, Sun Mar  8 04:31:22 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Northwestel Inc. (Whitehorse, YT) [8919.13 km]: 291.243 ms)
Vector(Upload: 12.48 Mbit/s, Download: 51.60 Mbit/s, Sun Mar  8 05:02:54 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Digital Pacific (Sydney) [7372.57 km]: 233.16 ms)
Vector(Upload: 60.84 Mbit/s, Download: 93.57 Mbit/s, Sun Mar  8 05:04:52 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by STC (Hong Kong) [1.06 km]: 9.398 ms)
Vector(Upload: 3.95 Mbit/s, Download: 10.00 Mbit/s, Sun Mar  8 05:05:40 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by TreudlerGroup UK (London) [9625.15 km]: 332.952 ms)
Vector(Upload: 6.25 Mbit/s, Download: 26.18 Mbit/s, Sun Mar  8 05:07:06 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Towerstream (New York City, NY) [12959.46 km]: 239.936 ms)
Vector(Upload: 0.86 Mbit/s, Download: 1.18 Mbit/s, Sun Mar  8 05:38:21 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by CMCC-SZ (Shenzhen) [27.85 km]: 6693.653 ms)
Vector(Upload: 50.74 Mbit/s, Download: 92.73 Mbit/s, Sun Mar  8 05:40:07 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Taiwan Fixed Network (New Taipei) [802.48 km]: 34.024 ms)
Vector(Upload: 4.77 Mbit/s, Download: 34.17 Mbit/s, Sun Mar  8 05:41:12 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Northwestel Inc. (Whitehorse, YT) [8919.13 km]: 275.298 ms)
Vector(Upload: 9.97 Mbit/s, Download: 23.64 Mbit/s, Sun Mar  8 06:12:29 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Vodafone Hutchison Australia (SD) (Sydney) [7372.57 km]: 242.78 ms)
Vector(Upload: 60.58 Mbit/s, Download: 93.63 Mbit/s, Sun Mar  8 06:15:09 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by STC (Hong Kong) [1.06 km]: 9.144 ms)
Vector(Upload: 3.76 Mbit/s, Download: 3.73 Mbit/s, Sun Mar  8 06:15:57 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by TreudlerGroup UK (London) [9625.15 km]: 360.06 ms)
Vector(Upload: 7.02 Mbit/s, Download: 16.46 Mbit/s, Sun Mar  8 06:18:05 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Atlantic Metro (New York City, NY) [12959.46 km]: 293.708 ms)
